學校類型,學校代碼,學校名稱,學位生_正式修讀學位外國生,學位生_僑生(含港澳),學位生_正式修讀學位陸生,非學位生_外國交換生,非學位生_外國短期研習及個人選讀,非學位生_大專附設華語文中心學生,非學位生_大陸研修生,非學位生_海青班,境外專班
大專校院,1,國立政治大學,472,673,295,258,0,466,0,0,0
大專校院,2,國立清華大學,910,577,239,24,18,793,0,0,3
大專校院,3,國立臺灣大學,1214,1666,373,476,121,486,0,0,1
大專校院,4,國立臺灣師範大學,595,846,139,114,0,2470,0,0,11
大專校院,0004A,國立臺灣師大僑生先修部,0,783,0,0,0,0,0,0,0
大專校院,5,國立成功大學,1064,901,152,63,33,773,0,0,0
大專校院,6,國立中興大學,416,383,33,4,3,16,0,0,0
大專校院,7,國立陽明交通大學,719,560,171,74,1,251,0,0,5
大專校院,8,國立中央大學,510,190,72,16,95,107,0,0,0
大專校院,9,國立中山大學,388,305,53,85,13,665,0,0,0
大專校院,12,國立臺灣海洋大學,121,471,12,0,0,181,0,0,0
大專校院,13,國立中正大學,147,201,18,28,2,0,0,0,0
大專校院,14,國立高雄師範大學,43,104,23,1,15,66,0,0,29
大專校院,15,國立彰化師範大學,58,226,23,7,29,236,0,0,12
大專校院,17,國立臺北大學,71,367,32,0,0,0,0,0,0
大專校院,18,國立嘉義大學,57,245,2,0,0,131,0,0,0
大專校院,19,國立高雄大學,67,180,5,0,0,15,0,0,0
大專校院,20,國立東華大學,470,386,19,24,0,36,0,0,0
大專校院,21,國立暨南國際大學,90,496,10,0,2,0,0,0,0
大專校院,22,國立臺灣科技大學,1018,345,86,294,6,0,0,0,0
大專校院,23,國立雲林科技大學,153,230,56,4,1,40,0,0,0
大專校院,24,國立屏東科技大學,281,217,0,0,0,57,0,59,0
大專校院,25,國立臺北科技大學,528,357,80,2,7,176,0,0,0
大專校院,28,國立臺北藝術大學,62,108,42,0,0,0,0,0,0
大專校院,29,國立臺灣藝術大學,68,157,69,1,0,0,0,0,0
大專校院,30,國立臺東大學,19,36,2,0,0,409,0,0,0
大專校院,31,國立宜蘭大學,27,102,1,0,0,0,0,0,0
大專校院,32,國立聯合大學,9,46,8,0,0,23,0,0,0
大專校院,33,國立虎尾科技大學,117,39,6,0,0,0,0,0,0
大專校院,35,國立臺南藝術大學,18,46,12,0,0,0,0,0,0
大專校院,36,國立臺南大學,49,103,10,0,0,0,0,0,0
大專校院,37,國立臺北教育大學,93,145,8,4,0,108,0,0,0
大專校院,39,國立臺中教育大學,65,138,6,0,0,176,0,0,0
大專校院,42,國立澎湖科技大學,12,7,0,0,0,0,0,0,0
大專校院,43,國立勤益科技大學,359,54,8,0,0,141,0,0,0
大專校院,44,國立體育大學,15,60,21,0,0,0,0,0,0
大專校院,46,國立臺北護理健康大學,49,122,0,0,217,0,0,0,0
大專校院,47,國立高雄餐旅大學,182,170,4,0,0,0,0,0,0
